parent,parent_label,winner_notation,winner_label,winner_sources,winner_children,losers,n_losers
085365,MARRIAGE DISSOLUTION AND ANNULMENT,085368,ALIMONY AND SUPPORT,0,2,085366=ALIMONY AND SPOUSAL SUPPORT,1
085386,MARRIAGE DISSOLUTION AND SEPARATION,085404,STATUTORY DISTINCTION BETWEEN DIVORCE AND SEPARATION,1,1,085398=DIVORCE VERSUS LEGAL SEPARATION,1
085386,MARRIAGE DISSOLUTION AND SEPARATION,085400,SPOUSAL SUPPORT,0,4,085387=ALIMONY AND SPOUSAL SUPPORT;085389=ALIMONY AND SUPPORT OBLIGATIONS;085402=SPOUSAL SUPPORT OBLIGATIONS,3
085408,GROUNDS FOR ANNULMENT,085410,IMPOTENCY,2,0,085409=IMPOTENCE AND PHYSICAL INCAPACITY,1
085497,PARENT AND CHILD,085519,CUSTODY OF CHILDREN,1,8,085501=CHILD CUSTODY;085513=CUSTODY AND CONTROL OF CHILDREN,2
085497,PARENT AND CHILD,085546,LEGITIMACY,1,0,085547=LEGITIMACY AND LEGITIMATION;085550=LEGITIMACY OF CHILDREN,2
085497,PARENT AND CHILD,085508,CHILD SUPPORT,0,2,085580=SUPPORT OF CHILDREN,1
085497,PARENT AND CHILD,085579,RIGHTS OF CHILDREN IN GENERAL,1,2,085511=CHILDREN'S RIGHTS AND CAPACITIES;085577=RIGHTS OF CHILDREN,2
085497,PARENT AND CHILD,085536,GUARDIANSHIP,0,2,085538=GUARDIANSHIP OF CHILDREN,1
085563,PARENTAL RIGHTS AND DUTIES,085573,RIGHT TO CHILD'S SERVICES,0,2,085575=RIGHT TO CHILD'S SERVICES AND EARNINGS,1
085605,MODIFICATION OF CUSTODY ORDERS,085606,COURT'S POWER TO CHANGE CUSTODY,1,0,085607=JUDICIAL PROCEEDINGS TO MODIFY CUSTODY,1
085618,SPOUSAL AND PARENTAL DUTIES,085619,DUTY OF SUPPORT,0,2,085622=SUPPORT OBLIGATIONS,1
085648,DOMESTIC RELATIONS AND FAMILY LAW,085804,MARRIAGE DISSOLUTION AND DIVORCE,0,7,"085655=DIVORCE AND ANNULMENT;085658=DIVORCE AND SEPARATION;085662=DIVORCE, SEPARATION, AND ANNULMENT;085750=MARRIAGE AND DISSOLUTION;085754=MARRIAGE AND DIVORCE;085812=MARRIAGE DISSOLUTION AND SEPARATION;085823=MARRIAGE, DIVORCE, AND SEPARATION",7
085648,DOMESTIC RELATIONS AND FAMILY LAW,085882,PARENTAL RIGHTS AND CUSTODY,0,2,085879=PARENTAL RIGHTS AND CHILD CUSTODY,1
085648,DOMESTIC RELATIONS AND FAMILY LAW,085763,MARRIAGE AND MARITAL RELATIONSHIPS,0,6,085676=HUSBAND AND WIFE;085796=MARRIAGE AND SPOUSAL RELATIONS;085800=MARRIAGE AND SPOUSAL RELATIONSHIP,3
085648,DOMESTIC RELATIONS AND FAMILY LAW,085748,MARRIAGE AND CIVIL UNIONS,0,2,"085820=MARRIAGE, CIVIL UNIONS, AND DOMESTIC PARTNERSHIPS",1
085648,DOMESTIC RELATIONS AND FAMILY LAW,085852,PARENT AND CHILD,0,0,085868=PARENT-CHILD RELATIONSHIPS,1
085699,MARRIAGE,085704,CREATION AND VALIDITY OF MARRIAGE,1,8,085710=FORMATION AND VALIDITY OF MARRIAGE,1
085699,MARRIAGE,085701,CAPACITY TO MARRY,0,3,085725=MARRIAGE CAPACITY AND VALIDITY,1
085699,MARRIAGE,085705,DEFINITION AND NATURE OF MARRIAGE,4,2,085729=NATURE AND CHARACTER OF MARRIAGE;085733=NATURE AND PURPOSES OF MARRIAGE,2
085710,FORMATION AND VALIDITY OF MARRIAGE,085718,INFORMAL AND COMMON-LAW MARRIAGES,1,1,085711=COMMON-LAW MARRIAGE,1
085710,FORMATION AND VALIDITY OF MARRIAGE,085719,MARRIAGE BY MAIL,2,0,085720=MARRIAGE BY PROXY OR MAIL,1
085763,MARRIAGE AND MARITAL RELATIONSHIPS,085769,TERMINATION OF MARRIAGE,0,2,085764=DISSOLUTION OF MARRIAGE (DIVORCE),1
085775,MARRIAGE AND MARITAL STATUS,085781,DISSOLUTION OF MARRIAGE (DIVORCE),0,4,085779=DISSOLUTION OF MARRIAGE;085786=DIVORCE AND DISSOLUTION,2
085812,MARRIAGE DISSOLUTION AND SEPARATION,085813,SPOUSAL MAINTENANCE (ALIMONY),1,1,085814=SPOUSAL SUPPORT,1
085823,"MARRIAGE, DIVORCE, AND SEPARATION",085826,GROUNDS FOR DIVORCE,0,1,085824=DIVORCE PROCEEDINGS AND GROUNDS,1
085852,PARENT AND CHILD,085857,CUSTODY AND VISITATION,0,4,085853=CHILD CUSTODY AND PLACEMENT;085855=CUSTODY,2
085891,DOMESTIC RELATIONS AND FAMILY STATUS,085901,GUARDIANSHIP,0,3,085898=GUARDIAN AND WARD RELATIONSHIP,1
085891,DOMESTIC RELATIONS AND FAMILY STATUS,085966,PARENT AND CHILD,0,6,085975=PARENT-CHILD RELATIONSHIP,1
085891,DOMESTIC RELATIONS AND FAMILY STATUS,085945,MARRIAGE AND MARITAL STATUS,0,4,085952=MARRIAGE AND SPOUSAL STATUS,1
085912,MARRIAGE,085923,FORMATION AND VALIDITY,0,7,085921=EXISTENCE AND VALIDITY;085933=MARRIAGE VALIDITY;085937=VALIDITY AND VOIDABILITY,3
085986,DOMESTIC RELATIONS AND MARITAL STATUS,086006,MARRIAGE VALIDITY,0,2,086008=MARRIAGE VALIDITY AND ANNULMENT;086014=MARRIAGE VALIDITY AND INVALIDITY,2
085986,DOMESTIC RELATIONS AND MARITAL STATUS,085992,DIVORCE AND SEPARATION,0,3,"085996=DIVORCE, DISSOLUTION, AND SEPARATION;086017=MARRIAGE, DIVORCE, AND SEPARATION",2
086032,GUARDIAN AND WARD,086035,GUARDIAN'S DUTIES AND POWERS,0,2,086033=GUARDIAN'S AUTHORITY AND DUTIES,1
086066,DOMICILE,086073,DOMICIL OF CHOICE,0,2,086076=DOMICILE OF CHOICE,1
086108,EMPLOYMENT AND LABOR RELATIONSHIPS,086124,MASTER-SERVANT RELATIONSHIP,1,22,086118=MASTER AND SERVANT;086121=MASTER AND SERVANT DOCTRINE,2
086124,MASTER-SERVANT RELATIONSHIP,086157,LIABILITY OF MASTER FOR INJURIES,0,1,086155=LIABILITY FOR INJURIES TO SERVANTS,1
086141,DUTIES OF MASTER,086146,PROVISION OF SAFE APPLIANCES,2,0,086144=DUTY TO ENFORCE SAFE APPLIANCES;086145=DUTY TO PROVIDE SAFE APPLIANCES,2
086170,MASTER-SERVANT RELATIONSHIP,086197,SCOPE OF EMPLOYMENT,0,1,086171=AUTHORITY AND SCOPE OF EMPLOYMENT,1
086170,MASTER-SERVANT RELATIONSHIP,086190,LIABILITY OF MASTER,0,2,086184=EMPLOYER'S LIABILITY,1
086170,MASTER-SERVANT RELATIONSHIP,086192,MUTUAL OBLIGATIONS OF MASTER AND SERVANT,1,1,086193=RIGHTS AND DUTIES BETWEEN MASTER AND SERVANT,1
086176,DUTIES AND LIABILITIES,086178,MASTER'S LIABILITY FOR TORTS TO SERVANTS,1,0,086177=MASTER'S LIABILITY FOR NEGLIGENCE TO SERVANT,1
086245,EXECUTORS AND ADMINISTRATORS,086246,APPOINTMENT OF EXECUTORS,0,1,086248=COURT APPOINTMENT OF EXECUTORS,1
086274,FAMILIAL RELATIONSHIPS,086275,PARENT AND CHILD,0,2,086277=PARENT-CHILD RELATIONSHIP,1
086285,FAMILY AND DOMESTIC RELATIONS,086323,MARITAL RELATIONS,0,10,086307=HUSBAND AND WIFE;086332=MARITAL RELATIONSHIPS;086402=MARRIAGE AND SPOUSAL RELATIONSHIPS,3
086285,FAMILY AND DOMESTIC RELATIONS,086295,GUARDIANSHIP,0,6,086292=GUARDIAN AND WARD;086305=GUARDIANSHIP AND CONSERVATORSHIP,2
086285,FAMILY AND DOMESTIC RELATIONS,086320,MARITAL PROPERTY RIGHTS,0,2,086318=MARITAL AND DOMESTIC PROPERTY RIGHTS,1
086285,FAMILY AND DOMESTIC RELATIONS,086374,MARRIAGE AND DISSOLUTION,0,1,086388=MARRIAGE AND MARITAL DISSOLUTION,1
086285,FAMILY AND DOMESTIC RELATIONS,086413,PARENT AND CHILD,0,7,086422=PARENT-CHILD RELATIONSHIP;086424=PARENT-CHILD RELATIONSHIP AND STATUS,2
086295,GUARDIANSHIP,086296,APPOINTMENT AND AUTHORITY OF GUARDIANS,2,0,086297=APPOINTMENT AND CREATION OF GUARDIANSHIP;086300=APPOINTMENT OF GUARDIANS,2
086342,MARRIAGE,086369,VALIDITY OF MARRIAGE,1,2,086355=MARRIAGE FORMATION AND VALIDITY,1
086393,MARRIAGE AND MARITAL STATUS,086400,SPOUSES' RIGHTS AND DUTIES,0,2,086398=SPOUSAL DUTIES AND OBLIGATIONS,1
086402,MARRIAGE AND SPOUSAL RELATIONSHIPS,086403,SPOUSAL DUTIES AND OBLIGATIONS,0,2,086405=SPOUSAL RIGHTS AND OBLIGATIONS,1
086448,MARRIAGE AND MARITAL STATUS,086452,DIVORCE AND SEPARATION,0,1,086449=DISSOLUTION OF MARRIAGE,1
086475,FAMILY AND PROTECTIVE RELATIONSHIPS,086478,GUARDIANSHIP,0,3,086476=GUARDIAN AND WARD,1
086481,FAMILY LAW,088094,MARRIAGE AND MARITAL RELATIONSHIPS,0,58,086554=MARITAL RELATIONSHIPS;088088=MARRIAGE AND MARITAL RELATIONS;088222=MARRIAGE AND MATRIMONIAL RELATIONS;088226=MARRIAGE AND MATRIMONIAL RELATIONSHIPS;088237=MARRIAGE AND SPOUSAL RELATIONS,5
086481,FAMILY LAW,088317,PARENTAL RIGHTS AND DUTIES,0,2,088320=PARENTAL RIGHTS AND OBLIGATIONS,1
086481,FAMILY LAW,086615,MARITAL RIGHTS AND OBLIGATIONS,0,2,086540=MARITAL OBLIGATIONS;088326=SPOUSAL RIGHTS AND OBLIGATIONS,2
086481,FAMILY LAW,087241,MARRIAGE AND DISSOLUTION,0,27,088081=MARRIAGE AND ITS DISSOLUTION,1
086481,FAMILY LAW,088282,PARENT-CHILD RELATIONSHIPS,0,19,086482=CHILDREN AND PARENT-CHILD RELATIONSHIPS;088270=PARENT AND CHILD,2
086481,FAMILY LAW,086547,MARITAL PROPERTY RIGHTS,0,5,086544=MARITAL PROPERTY,1
086491,DIVORCE AND SEPARATION,086494,ALIMONY AND SPOUSAL SUPPORT,0,4,086492=ALIMONY,1
086504,DOMESTIC RELATIONS,086505,ALIMONY,0,4,086508=ALIMONY AND SPOUSAL SUPPORT;086528=SPOUSAL SUPPORT AND MAINTENANCE,2
086513,DIVORCE AND SEPARATION,086514,ALIMONY,0,2,086516=SPOUSAL SUPPORT AND ALIMONY,1
086554,MARITAL RELATIONSHIPS,086608,SPOUSAL RIGHTS AND INTERESTS,1,2,086595=RIGHTS AND INTERESTS ARISING FROM MARRIAGE;086603=SPOUSAL RIGHTS,2
086554,MARITAL RELATIONSHIPS,086584,PROPERTY RIGHTS BETWEEN SPOUSES,0,5,086582=MARITAL PROPERTY RIGHTS,1
086554,MARITAL RELATIONSHIPS,086592,RIGHTS AND DUTIES OF SPOUSES,0,10,086562=DUTIES AND OBLIGATIONS BETWEEN SPOUSES;086575=LEGAL RIGHTS AND OBLIGATIONS BETWEEN SPOUSES;086597=RIGHTS AND OBLIGATIONS BETWEEN SPOUSES;086600=SPOUSAL DUTIES AND OBLIGATIONS;086606=SPOUSAL RIGHTS AND DUTIES;086609=SPOUSAL RIGHTS AND OBLIGATIONS,6
086584,PROPERTY RIGHTS BETWEEN SPOUSES,086589,WIFE'S SEPARATE PROPERTY,0,3,086587=WIFE'S PERSONAL PROPERTY,1
086618,MARRIAGE,086685,BREACH OF MARRIAGE AGREEMENTS,1,0,086686=BREACH OF PROMISE TO MARRY,1
086618,MARRIAGE,087086,RIGHTS AND OBLIGATIONS ARISING FROM MARRIAGE,2,6,087076=RIGHTS AND DUTIES OF SPOUSES;087083=RIGHTS AND LIABILITIES OF SPOUSES;087088=RIGHTS AND OBLIGATIONS BETWEEN SPOUSES;087092=RIGHTS AND OBLIGATIONS OF SPOUSES;087110=SPOUSAL RIGHTS AND DUTIES;087116=SPOUSAL RIGHTS AND OBLIGATIONS,6
086618,MARRIAGE,086726,DISSOLUTION OF MARRIAGE,1,4,086722=DISSOLUTION AND DIVORCE,1
086618,MARRIAGE,087020,PROPERTY RIGHTS BETWEEN SPOUSES,0,17,087012=PROPERTY RELATIONS BETWEEN SPOUSES;087018=PROPERTY RIGHTS ARISING FROM MARRIAGE;087040=PROPERTY RIGHTS OF SPOUSES;087108=SPOUSAL PROPERTY RIGHTS,4
086618,MARRIAGE,086866,LEGISLATIVE MARRIAGE REQUIREMENTS,0,1,086870=LEGISLATIVE REGULATION OF MARRIAGE;086949=MARRIAGE REGULATIONS AND REQUIREMENTS,2
086618,MARRIAGE,086719,DEFINITION AND NATURE OF MARRIAGE,12,4,086711=DEFINITION AND CLASSIFICATION OF MARRIAGE;086713=DEFINITION AND DOCTRINAL FOUNDATIONS OF MARRIAGE;086714=DEFINITION AND ELEMENTS OF MARRIAGE;086715=DEFINITION AND LEGAL NATURE OF MARRIAGE;086717=DEFINITION AND LEGAL RECOGNITION;086718=DEFINITION AND LEGAL RECOGNITION OF MARRIAGE,6
086618,MARRIAGE,086770,FORMALITIES AND CELEBRATION,0,8,086774=FORMALITIES AND CEREMONIAL REQUIREMENTS;086776=FORMALITIES AND CEREMONIES;086778=FORMALITIES AND PROCEDURES;086782=FORMALITIES AND REQUIREMENTS;086784=FORMALITIES AND SOLEMNIZATION;086808=FORMS AND CELEBRATION;086810=FORMS AND CELEBRATION OF MARRIAGE,7
086618,MARRIAGE,087006,PROHIBITIONS AND RESTRICTIONS ON MARRIAGE,1,2,087004=PROHIBITED MARRIAGES;087068=RESTRICTIONS ON MARRIAGE,2
086618,MARRIAGE,086913,MARITAL RIGHTS AND OBLIGATIONS,0,20,086878=MARITAL DUTIES AND OBLIGATIONS;086884=MARITAL OBLIGATIONS;086906=MARITAL RIGHTS AND DUTIES;086977=MUTUAL OBLIGATIONS OF SPOUSES;086982=MUTUAL RIGHTS AND DUTIES OF SPOUSES;086984=MUTUAL RIGHTS AND OBLIGATIONS,6
086618,MARRIAGE,087226,VOIDABLE MARRIAGES,1,16,087202=VOID AND VOIDABLE MARRIAGES,1
086618,MARRIAGE,086994,PLEADING AND ALLEGATION OF MARRIAGE,1,1,086995=PLEADINGS AND ALLEGATIONS IN MARRIAGE CASES,1
086618,MARRIAGE,087009,PROOF AND EVIDENCE OF MARRIAGE,2,1,087011=PROOF OF MARRIAGE,1
086618,MARRIAGE,086820,HUSBAND AND WIFE,0,2,086822=HUSBAND-WIFE RELATIONS,1
086618,MARRIAGE,087071,RESTRICTIONS ON REMARRIAGE,0,2,087066=RESTRICITIONS ON REMARRIAGE,1
086618,MARRIAGE,087186,VALIDITY OF MARRIAGE,2,12,087151=VALIDITY AND INVALIDITY OF MARRIAGE,1
086618,MARRIAGE,086675,ANTENUPTIAL AGREEMENTS,0,4,086679=ANTENUPTIAL AGREEMENTS AND CONDITIONS,1
086618,MARRIAGE,086964,MARRIED WOMEN'S PROPERTY,0,2,086969=MARRIED WOMEN'S PROPERTY AND CONTRACT RIGHTS,1
086618,MARRIAGE,086860,LEGAL RECOGNITION AND VALIDITY OF MARRIAGE,2,1,086852=LEGAL DEFINITION AND VALIDITY OF MARRIAGE,1
086618,MARRIAGE,086745,ELEMENTS OF MARRIAGE,3,2,086751=ESSENTIALS OF MARRIAGE,1
086618,MARRIAGE,086897,MARITAL PROPERTY RIGHTS,0,4,086887=MARITAL PROPERTY;086890=MARITAL PROPERTY AND SPOUSAL RIGHTS,2
086618,MARRIAGE,087097,SOLEMNIZATION OF MARRIAGE,0,3,087093=SOLEMNIZATION AND CELEBRATION;087095=SOLEMNIZATION AND CEREMONIAL REQUIREMENTS,2
086618,MARRIAGE,086705,CONSENT TO MARRIAGE,2,3,086704=CONSENT AND INTENT TO MARRY,1
086618,MARRIAGE,086902,MARITAL RELATIONSHIP,0,2,086934=MARITAL STATUS AND RELATIONSHIP,1
086618,MARRIAGE,086999,PRESUMPTION OF MARRIAGE,1,1,087000=PRESUMPTIONS AND EVIDENCE OF MARRIAGE,1
086618,MARRIAGE,086859,LEGAL NATURE AND STATUS OF MARRIAGE,3,1,086855=LEGAL NATURE AND CHARACTERISTICS OF MARRIAGE;086857=LEGAL NATURE AND ELEMENTS OF MARRIAGE;086989=NATURE AND LEGAL CHARACTERIZATION OF MARRIAGE,3
086618,MARRIAGE,086960,MARRIED WOMEN'S LEGAL STATUS,0,4,086958=MARRIED WOMEN'S LEGAL CAPACITY,1
086618,MARRIAGE,086700,CAPACITY TO MARRY,0,1,086698=CAPACITY AND RESTRICTIONS,1
086618,MARRIAGE,086873,MARITAL AGREEMENTS,0,4,086876=MARITAL AGREEMENTS AND SETTLEMENTS;086936=MARRIAGE AGREEMENTS;086938=MARRIAGE CONTRACTS AND AGREEMENTS;086940=MARRIAGE CONTRACTS AND SETTLEMENTS,4
086618,MARRIAGE,086671,ANNULMENT OF MARRIAGE,3,5,086666=ANNULMENT,1
086618,MARRIAGE,087218,VOIDABILITY AND ANNULMENT,0,6,087212=VOIDABILITY AND ANNULLMENT,1
086618,MARRIAGE,087062,REQUIREMENTS FOR VALID MARRIAGE,0,3,087060=REQUIREMENTS AND ELEMENTS OF MARRIAGE,1
086619,AGREEMENTS TO MARRY,086664,VALIDITY OF AGREEMENTS TO MARRY,2,4,086657=VALIDITY AND ENFORCEABILITY;086662=VALIDITY AND ENFORCEABILITY OF MARRIAGE AGREEMENTS;086665=VALIDITY OF EXECUTORY AGREEMENTS TO MARRY,3
086620,BREACH OF PROMISE TO MARRY,086640,LEGAL RULES AND DOCTRINES,2,0,086636=LEGAL DOCTRINES AND PRINCIPLES,1
086620,BREACH OF PROMISE TO MARRY,086622,DEFINITION AND DOCTRINAL FOUNDATIONS,3,0,086625=DOCTRINE AND DEFINITIONS,1
086620,BREACH OF PROMISE TO MARRY,086634,JURISDICTIONAL VARIATIONS,2,0,086644=STATE VARIATIONS IN LEGISLATION,1
086686,BREACH OF PROMISE TO MARRY,086694,JUDICIAL INTERPRETATION,2,0,086695=JUDICIAL REASONING AND INTERPRETATION,1
086757,EVIDENCE OF MARRIAGE,086761,MARRIAGE REPUTE,2,0,086760=GENERAL REPUTATION AS EVIDENCE OF MARRIAGE,1
086762,EXECUTORY AGREEMENTS TO MARRY,086765,BREACH OF PROMISE TO MARRY,4,2,086763=BREACH OF PROMISE,1
086800,FORMATION OF MARRIAGE,086807,REQUIREMENT OF MUTUAL CONSENT,1,0,086801=CONSENT TO MARRIAGE,1
086825,IMPEDIMENTS TO MARRIAGE,086829,CONSANGUINITY,2,0,086831=CONSANGUINITY AS MARRIAGE IMPEDIMENT,1
086825,IMPEDIMENTS TO MARRIAGE,086830,CONSANGUINITY AND AFFINITY AS IMPEDIMENTS,2,1,086826=AFFINITY AND CONSANGUINITY,1
086825,IMPEDIMENTS TO MARRIAGE,086832,EXISTING MARRIAGE AS IMPEDIMENT,1,1,086835=PRIOR UNDISSOLVED MARRIAGE,1
086913,MARITAL RIGHTS AND OBLIGATIONS,086929,RESTITUTION OF CONJUGAL RIGHTS,1,0,086920=CONJUGAL RIGHTS,1
086964,MARRIED WOMEN'S PROPERTY,086965,SEPARATE ESTATE,0,2,086967=SEPARATE PROPERTY,1
087020,PROPERTY RIGHTS BETWEEN SPOUSES,087031,MARRIED WOMEN'S SEPARATE ESTATES,0,2,087033=MARRIED WOMEN'S SEPARATE PROPERTY;087035=MARRIED WOMEN'S SEPARATE STATUTORY ESTATE,2
087062,REQUIREMENTS FOR VALID MARRIAGE,087064,MATRIMONIAL INTENT,2,0,087063=INTENT TO ENTER PERMANENT UNION,1
087105,SPOUSAL LEGAL STATUS AND CAPACITY,087107,MARRIED WOMEN'S RIGHT TO SUE,2,0,087106=MARRIED WOMEN'S COMMON-LAW RIGHT TO SUE,1
087141,VALIDITY AND FORMATION OF MARRIAGE,087145,GOVERNING LAW AND DOMICILE,2,0,087146=GOVERNING LAW FOR MARRIAGE,1
087186,VALIDITY OF MARRIAGE,087200,VOID AND VOIDABLE MARRIAGES,2,0,087201=VOID VERSUS VOIDABLE MARRIAGES,1
087212,VOIDABILITY AND ANNULLMENT,087213,FRAUD AS GROUND FOR ANNULLMENT,1,1,087214=FRAUD OR MISREPRESENTATION,1
087226,VOIDABLE MARRIAGES,087231,FRAUD AS GROUND FOR ANNULMENT,3,0,087230=FRAUD AS GROUND FOR ANNULLMENT,1
087241,MARRIAGE AND DISSOLUTION,087244,ALIMONY AND SPOUSAL SUPPORT,0,4,087242=ALIMONY,1
087241,MARRIAGE AND DISSOLUTION,087345,GROUNDS FOR DIVORCE OR ANNULLMENT,1,1,087346=GROUNDS FOR DIVORCE OR ANNULMENT,1
087241,MARRIAGE AND DISSOLUTION,087304,DIVORCE AND ANNULMENT,1,23,087275=DIVORCE AND ANNULLMENT;087325=DIVORCE AND ANNULMENT PROCEEDINGS,2
087252,DIVORCE,087258,DECREE OF DIVORCE,2,0,087253=ABSOLUTE DECREE OF DIVORCE,1
087252,DIVORCE,087265,GROUNDS FOR DIVORCE,4,1,087257=CONDITIONS FOR GRANTING DIVORCE;087264=GROUNDS AND CONDITIONS FOR DIVORCE,2
087252,DIVORCE,087270,PROCEDURAL ISSUES IN DIVORCE,0,1,087268=PLEADING AND PROCEDURAL REQUIREMENTS,1
087275,DIVORCE AND ANNULLMENT,087301,SPOUSAL SUPPORT AND ALLOWANCES,1,8,087276=ALIMONY AND SPOUSAL SUPPORT;087295=SPOUSAL SUPPORT;087302=SPOUSAL SUPPORT AND MAINTENANCE,3
087304,DIVORCE AND ANNULMENT,087319,PROPERTY DIVISION AND RESTORATION,1,0,087320=PROPERTY RIGHTS AND DISTRIBUTION,1
087368,MARRIAGE AND DIVORCE,087783,STATE REGULATION OF MARRIAGE AND DIVORCE,3,0,087782=STATE REGULATION OF MARRIAGE,1
087368,MARRIAGE AND DIVORCE,087430,DIVORCE,1,23,087426=DISSOLUTION OF MARRIAGE,1
087368,MARRIAGE AND DIVORCE,087669,MARITAL MISCONDUCT,0,4,087674=MARITAL MISCONDUCT AND GROUNDS FOR DIVORCE;087697=MATRIMONIAL OFFENSES,2
087368,MARRIAGE AND DIVORCE,087709,PROPERTY RIGHTS AND INTERESTS,1,1,087707=PROPERTY RIGHTS AND DIVISION,1
087368,MARRIAGE AND DIVORCE,087574,GENERAL PRINCIPLES AND OVERVIEW,2,0,087570=GENERAL OVERVIEW;087571=GENERAL PRINCIPLES;087576=GENERAL PRINCIPLES AND RULES,3
087368,MARRIAGE AND DIVORCE,087510,DIVORCE LAW POLICY AND INTERPRETATION,1,1,087511=DIVORCE LAW POLICY AND PRINCIPLES,1
087368,MARRIAGE AND DIVORCE,087550,FINANCIAL OBLIGATIONS BETWEEN SPOUSES,0,4,087559=FINANCIAL OBLIGATIONS OF SPOUSES,1
087368,MARRIAGE AND DIVORCE,087769,SPOUSAL OBLIGATIONS,0,3,087772=SPOUSAL OBLIGATIONS AND RIGHTS,1
087368,MARRIAGE AND DIVORCE,087540,FINANCIAL OBLIGATIONS,0,4,087545=FINANCIAL OBLIGATIONS AND SUPPORT,1
087368,MARRIAGE AND DIVORCE,087665,LEGISLATIVE MARRIAGES AND DIVORCES,0,3,087663=LEGISLATIVE DIVORCE,1
087368,MARRIAGE AND DIVORCE,087694,MARITAL STATUS AND RIGHTS,1,0,087683=MARITAL RIGHTS AND OBLIGATIONS;087717=RIGHTS AND LIABILITIES ARISING FROM MARRIAGE,2
087368,MARRIAGE AND DIVORCE,087381,ALIMONY,0,9,087393=ALIMONY AND SPOUSAL SUPPORT;087403=ALIMONY AND SUPPORT,2
087368,MARRIAGE AND DIVORCE,087654,JURISDICTIONAL AND REGIONAL VARIATIONS,2,1,087655=JURISDICTIONAL AND TERRITORIAL APPLICATION;087656=JURISDICTIONAL VARIATIONS IN MARRIAGE AND DIVORCE LAW,2
087368,MARRIAGE AND DIVORCE,087704,POLICY AND THEORY OF DIVORCE LAW,3,0,087702=POLICY AND JUSTIFICATION OF DIVORCE LAWS;087703=POLICY AND SOCIAL IMPACT OF DIVORCE LAWS,2
087368,MARRIAGE AND DIVORCE,087716,REMARRIAGE RESTRICTIONS,1,0,087705=POST-DIVORCE RESTRICTIONS,1
087369,ADULTERY,087370,HISTORICAL AND DOCTRINAL EVOLUTION,2,0,087371=HISTORICAL JUDICIAL TREATMENT OF ADULTERY,1
087381,ALIMONY,087391,PROCEDURAL MATTERS,1,1,087389=PROCEDURAL AND EVIDENTIARY ISSUES IN ALIMONY CASES,1
087393,ALIMONY AND SPOUSAL SUPPORT,087400,MODIFICATION OF ALIMONY AWARDS,1,1,087401=TERMINATION OR MODIFICATION OF ALIMONY,1
087430,DIVORCE,087444,GROUNDS FOR DIVORCE,2,2,087442=GROUNDS AND ENTITLEMENT TO DIVORCE;087443=GROUNDS AND SCOPE OF DIVORCE,2
087430,DIVORCE,087454,LEGISLATIVE DIVORCE,5,2,087457=LEGISLATIVE OR PARLIAMENTARY DIVORCE,1
087516,DIVORCE PROCEEDINGS,087520,EVIDENTIARY REQUIREMENTS FOR DIVORCE,1,0,087518=EVIDENCE AND RECORDS,1
087536,EVIDENCE OF MARRIAGE,087539,PROOF BY COHABITATION,2,0,087537=COHABITATION AND REPUTATION AS PROOF OF MARRIAGE,1
087599,GROUNDS FOR DIVORCE OR SEPARATION,087618,DESERTION,5,0,087600=ABANDONMENT OR SEPARATION;087619=DESERTION AND ABANDONMENT;087622=DESERTION AS GROUND FOR DIVORCE,3
087599,GROUNDS FOR DIVORCE OR SEPARATION,087631,MISCONDUCT AND FAULT,0,2,087633=MISCONDUCT AND FAULT-BASED GROUNDS,1
087599,GROUNDS FOR DIVORCE OR SEPARATION,087613,CRIMINAL CONVICTIONS AS GROUNDS,2,0,087612=CRIMINAL CONVICTION AS GROUND FOR SEPARATION,1
087599,GROUNDS FOR DIVORCE OR SEPARATION,087617,CRUELTY AS GROUND FOR DIVORCE,1,2,087614=CRUELTY,1
087599,GROUNDS FOR DIVORCE OR SEPARATION,087624,INCAPACITY DUE TO MENTAL CONDITION,1,1,087629=MENTAL INCAPACITY AS GROUND,1
087599,GROUNDS FOR DIVORCE OR SEPARATION,087601,ADULTERY,1,7,087611=ADULTERY AND RELATED DEFENSES,1
087601,ADULTERY,087604,DEFENSES TO ADULTERY CLAIMS,1,1,087602=DEFENSES OR MITIGATING CIRCUMSTANCES,1
087601,ADULTERY,087606,INTENT TO SEPARATE AS ELEMENT,1,0,087607=INTERPRETATION OF SEPARATION INTENT,1
087732,SEPARATION BY MUTUAL CONSENT,087735,DEFINITION AND SCOPE,1,0,087737=DOCTRINAL DEFINITION AND STATUTORY FRAMEWORK,1
087789,MARRIAGE AND DOMESTIC PARTNERSHIPS,087803,DISSOLUTION AND ANNULMENT,0,3,087805=INVALIDITY AND DISSOLUTION;087807=INVALIDITY AND TERMINATION,2
087812,MARRIAGE AND DOMESTIC RELATIONS,087971,MARITAL RIGHTS AND OBLIGATIONS,0,14,087969=MARITAL RIGHTS AND DUTIES;088010=RIGHTS AND DUTIES ARISING FROM MARRIAGE;088012=RIGHTS AND DUTIES BETWEEN SPOUSES;088014=RIGHTS AND OBLIGATIONS BETWEEN SPOUSES;088038=SPOUSAL DUTIES AND OBLIGATIONS;088044=SPOUSAL DUTIES AND RIGHTS,6
087812,MARRIAGE AND DOMESTIC RELATIONS,087824,ANNULMENT AND VALIDATION,0,5,087822=ANNULMENT;087831=ANNULMENT OF MARRIAGE,2
